"","uniqueID1","uniqueID2","uniqueID3","uniqueID4","date","year","season","fishing_season","latitude","longitude","location","total_salmon_per_site","day_scaled_linearised","month_linearised","netting_record","sea_age","sex","fork_length","gut_weight","condition","vgll3","six6","best_estimate","be_probability","prey_group","num_prey","num_fish","num_crus","w_fish","w_crus","w_prey","empty_notEmpty","fish_prop","fish_noFish","crust_prop","crust_noCrust"
"31","43_W_70","0043_W_70","0043_W_70_1992","71_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,71,"2","male",70,2.82,0.822157434402332,2,3,"England_Ireland",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"32","44_W_79","0044_W_79","0044_W_79_1992","70_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,70,"2","male",79,4.55,0.922847888300925,3,3,"Southern_Norway",0.9967,NA,0,0,0,0,0,0,0,NA,0,NA,0
"33","45_W_73","0045_W_73","0045_W_73_1992","69_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,69,"2","male",73,3.64,0.935691756401391,3,3,"Southern_Norway",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"34","46_W_66","0046_W_66","0046_W_66_1992","68_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,68,"2","male",66,2.64,0.918273645546373,3,3,"Southern_Norway",0.9999,NA,0,0,0,0,0,0,0,NA,0,NA,0
"35","48_W_46","0048_W_46","0048_W_46_1992","111_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,111,"1","female",46,0.91,0.934905892989233,3,3,"England_Ireland",0.9999,NA,0,0,0,0,0,0,0,NA,0,NA,0
"36","49_W_70","0049_W_70","0049_W_70_1992","78_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,78,"2","female",70,3.64,1.06122448979592,1,1,"England_Ireland",1,"Crustaceans",2,0,2,0,0.23,0.23,1,0,0,1,1
"37","51_W_47","0051_W_47","0051_W_47_1992","131_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,131,"1","female",47,0.91,0.876491721487532,2,3,"Southern_Norway",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"38","52_W_49","0052_W_49","0052_W_49_1992","127_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,127,"1","female",49,1.09,0.926484713002236,3,3,"Southern_Norway",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"39","53_W_49","0053_W_49","0053_W_49_1992","126_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,126,"1","female",49,1,0.849985975231409,1,1,"England_Ireland",0.9999,NA,0,0,0,0,0,0,0,NA,0,NA,0
"40","54_W_47","0054_W_47","0054_W_47_1992","125_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,125,"1","female",47,0.91,0.876491721487532,2,2,"England_Ireland",0.9739,NA,0,0,0,0,0,0,0,NA,0,NA,0
"41","55_W_47","0055_W_47","0055_W_47_1992","121_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,121,"1","female",47,0.91,0.876491721487532,3,2,"England_Ireland",1,"Crustaceans",63,0,63,0,1.37,1.37,1,0,0,1,1
"42","56_W_46","0056_W_46","0056_W_46_1992","116_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,116,"1","male",46,0.91,0.934905892989233,3,3,"Southern_Norway",1,NA,0,0,0,0,0,0,0,NA,0,NA,0
"43","57_W_47","0057_W_47","0057_W_47_1992","115_17121992","17/12/1992",1992,"92/93","autumn",62.38,-8.58,"location5",141,-1.15011770468068,12,115,"1","female",47,0.91,0.876491721487532,3,3,"England_Ireland",1,"Crustaceans",3,0,3,0,0.27,0.27,1,0,0,1,1
