IND;Best Estimate;Probability;2nd Best Estimate;Probability;3rd Best Estimate, etc.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0452_W_84_1993 ;Alta;0.8767;Lakselva_aver;0.1229;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0453_W_84_1993 ;Gaula;0.8728;Lardaiselva;0.1265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0508_W_101_1993 ;Gaula;0.3101;NorthEsk;0.1011;Dionard;0.0831;Numedalsiagen;0.0794;UN_aver;0.0744;Alta;0.0564;Lardaiselva;0.0518;Dart;0.0464;Emtsa;0.0416;Teno;0.0376;Chaloupe;0.0173;Tweed;0.0150;Lebyazhya;0.0134;PPI_aver;0.0107;Ong_aver;0.0106;Matapedia;0.0095;Blackwater;0.0079;Mal_aver;0.0070;Laukhelle_aver;0.0066;Pongoma;0.0063;Moy;0.0026;Neiden_aver;0.0021
0506_W_85_1993 ;Gaula;0.9929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0509_W_93_1993 ;Gaula;0.8796;Lardaiselva;0.1186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0510_W_71_1993 ;Gaula;0.8487;Numedalsiagen;0.0769;Lardaiselva;0.0742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0511_W_78_1993 ;Alta;0.9992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0512_W_88_1993 ;Gaula;0.9963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0513_W_74_1993 ;Gaula;0.8527;Numedalsiagen;0.1247;Teno;0.0199;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0515_W_70_1993 ;Dionard;0.9822;Dart;0.0075;NorthEsk;0.0062;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0516_W_71_1993 ;Gaula;0.9940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0517_W_65_1993 ;NorthEsk;0.8696;Dionard;0.0800;Dart;0.0405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0518_W_47_1993 ;NorthEsk;0.8656;Tweed;0.1253;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0520_W_65_1993 ;Gaula;0.7096;Lardaiselva;0.1574;Numedalsiagen;0.0658;Mal_aver;0.0501;NorthEsk;0.0078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0530_W_86_1993 ;Emtsa;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0528_W_87_1993 ;Gaula;0.9940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0527_W_47_1993 ;Lardaiselva;0.8645;Gaula;0.1301;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0526_W_70_1993 ;Gaula;0.9797;Lardaiselva;0.0203;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0525_W_89_1993 ;Teno;0.7223;VJ_aver;0.2009;Titovka_aver;0.0517;Neiden_aver;0.0126;Alta;0.0100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0529_W_87_1993 ;Gaula;0.5084;Lardaiselva;0.3488;Alta;0.0966;Dart;0.0229;NorthEsk;0.0114;Numedalsiagen;0.0086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0524_W_93_1993 ;Lardaiselva;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0523_W_76_1993 ;Gaula;0.9292;Numedalsiagen;0.0506;Lardaiselva;0.0162;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0522_W_95_1993 ;Gaula;0.9996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0504_W_95_1993 ;Lardaiselva;0.9985;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0521_W_72_1993 ;Lardaiselva;0.8588;Gaula;0.0626;Dart;0.0520;Blackwater;0.0176;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0503_W_93_1993 ;Gaula;0.9977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0491_W_93_1993 ;Gaula;0.9876;Lardaiselva;0.0123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0493_W_92_1993 ;PPI_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0489_W_90_1993 ;Gaula;0.5898;Numedalsiagen;0.4050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0488_W_98_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0487_W_96_1993 ;Gaula;0.8185;Lardaiselva;0.0695;Dionard;0.0593;Numedalsiagen;0.0208;Laukhelle_aver;0.0180;Dart;0.0115;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0486_W_70_1993 ;NorthEsk;0.5081;Tweed;0.2522;Dionard;0.2306;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0485_W_68_1993 ;Numedalsiagen;0.9943;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0484_W_101_1993 ;Gaula;0.9191;Mal_aver;0.0805;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0483_W_74_1993 ;Dart;0.3814;Tweed;0.2972;Moy;0.1753;Blackwater;0.1010;NorthEsk;0.0387;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0482_W_89_1993 ;Gaula;0.9997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0490_W_87_1993 ;Gaula;0.6484;Lardaiselva;0.3347;Numedalsiagen;0.0135;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0494_W_90_1993 ;Gaula;0.9995;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0496_W_70_1993 ;Gaula;0.9801;Numedalsiagen;0.0119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0497_W_57_1993 ;Gaula;0.9406;NorthEsk;0.0562;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0505_W_77_1993 ;Gaula;0.9959;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0499_W_71_1993 ;Gaula;0.9920;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0492_W_76_1993 ;Gaula;0.9876;NorthEsk;0.0088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0500_W_88_1993 ;Gaula;0.9994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0502_W_103_1993 ;Lardaiselva;0.6435;Gaula;0.3203;Numedalsiagen;0.0361;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0519_W_91_1993 ;Lardaiselva;0.6029;Gaula;0.3923;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0562_W_67_1993 ;Gaula;0.9990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0557_W_69_1993 ;UN_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0559_W_80_1993 ;NorthEsk;0.3049;Dart;0.2620;Dionard;0.2557;Tweed;0.0889;Moy;0.0604;Blackwater;0.0273;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0560_W_75_1993 ;Gaula;0.9967;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0570_W_92_1993 ;Lardaiselva;0.9812;Gaula;0.0188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0561_W_72_1993 ;Gaula;0.7357;Lardaiselva;0.2245;Laukhelle_aver;0.0322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0555_W_81_1993 ;Gaula;0.8022;Dionard;0.1809;Numedalsiagen;0.0086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0563_W_67_1993 ;Gaula;0.9996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0565_W_76_1993 ;Dionard;0.9472;NorthEsk;0.0434;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0567_W_91_1993 ;Alta;0.9910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0572_W_67_1993 ;Gaula;0.5938;Dart;0.2921;Dionard;0.0785;Numedalsiagen;0.0198;NorthEsk;0.0133;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0580_W_72_1993 ;Lebyazhya;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0579_W_87_1993 ;Gaula;0.8964;Mal_aver;0.0555;Lardaiselva;0.0465;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0578_W_87_1993 ;Emtsa;0.9938;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0577_W_71_1993 ;Teno;0.9986;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0576_W_97_1993 ;UN_aver;0.9973;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0575_W_96_1993 ;Alta;0.9881;Gaula;0.0118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0573_W_88_1993 ;Gaula;0.8697;Numedalsiagen;0.0965;Mal_aver;0.0165;Dionard;0.0164;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0568_W_89_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0571_W_62_1993 ;Gaula;0.9823;Mal_aver;0.0158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0558_W_75_1993 ;Lardaiselva;0.9698;Gaula;0.0300;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0553_W_86_1993 ;UN_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0541_W_76_1993 ;Gaula;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0537_W_74_1993 ;Dionard;0.9671;NorthEsk;0.0138;Dart;0.0130;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0538_W_73_1993 ;NorthEsk;0.9743;Dionard;0.0244;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0542_W_64_1993 ;NorthEsk;0.9818;Dionard;0.0153;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0536_W_72_1993 ;Ong_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0539_W_63_1993 ;Emtsa;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0544_W_53_1993 ;Gaula;0.9790;Numedalsiagen;0.0182;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0545_W_74_1993 ;Numedalsiagen;0.9998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0554_W_90_1993 ;Gaula;0.9998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0548_W_88_1993 ;Gaula;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0540_W_101_1993 ;Gaula;0.9991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0549_W_60_1993 ;Lardaiselva;0.9777;Gaula;0.0158;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0550_W_90_1993 ;Gaula;0.7340;Alta;0.2588;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0551_W_100_1993 ;Alta;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0556_W_71_1993 ;Emtsa;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0609_W_89_1993 ;Gaula;0.8319;Dionard;0.1437;Numedalsiagen;0.0124;Dart;0.0074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0608_W_88_1993 ;Gaula;0.9231;Mal_aver;0.0742;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0611_W_71_1993 ;Gaula;0.9996;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0612_W_76_1993 ;Gaula;0.9889;Numedalsiagen;0.0078;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0613_W_67_1993 ;Gaula;0.9974;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0606_W_65_1993 ;Emtsa;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0614_W_72_1993 ;Gaula;0.9893;Lardaiselva;0.0103;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0615_W_84_1993 ;Gaula;0.9997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0630_W_93_1993 ;Gaula;0.9607;Lardaiselva;0.0393;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0628_W_65_1993 ;Gaula;0.8993;Numedalsiagen;0.0686;Laukhelle_aver;0.0222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0626_W_71_1993 ;Numedalsiagen;0.9997;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0625_W_64_1993 ;Emtsa;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0624_W_85_1993 ;Gaula;0.9989;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0623_W_96_1993 ;Alta;0.7650;Teno;0.2350;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0618_W_88_1993 ;Lardaiselva;0.8750;Gaula;0.1250;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0621_W_91_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0619_W_93_1993 ;Gaula;0.9720;Numedalsiagen;0.0153;NorthEsk;0.0086;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0588_W_100_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0581_W_97_1993 ;Gaula;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0589_W_74_1993 ;Gaula;0.9716;Numedalsiagen;0.0197;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0592_W_100_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0587_W_88_1993 ;Dionard;0.7521;Gaula;0.2187;Numedalsiagen;0.0168;Laukhelle_aver;0.0050;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0586_W_108_1993 ;Lardaiselva;0.9866;Gaula;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0585_W_62_1993 ;Numedalsiagen;0.9916;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0583_W_91_1993 ;Gaula;0.9949;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0582_W_66_1993 ;Lardaiselva;0.9626;Mal_aver;0.0237;Gaula;0.0118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0590_W_73_1993 ;Alta;0.8482;Gaula;0.1518;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0593_W_63_1993 ;Gaula;0.9852;Laukhelle_aver;0.0126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0596_W_96_1993 ;UN_aver;0.7678;PPI_aver;0.2322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0597_W_91_1993 ;Gaula;0.9824;Lardaiselva;0.0168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0598_W_88_1993 ;Gaula;0.9929;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0600_W_92_1993 ;Gaula;0.9220;Alta;0.0704;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0601_W_97_1993 ;Gaula;0.9963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0602_W_71_1993 ;Numedalsiagen;0.9790;Lardaiselva;0.0210;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0603_W_89_1993 ;Numedalsiagen;0.9954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0661_W_67_1993 ;Lardaiselva;0.5813;Gaula;0.4183;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0670_W_92_1993 ;Gaula;0.9990;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0663_W_90_1993 ;Gaula;0.9313;Numedalsiagen;0.0643;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0656_W_110_1993 ;Gaula;0.9919;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0664_W_89_1993 ;Gaula;0.9720;Titovka_aver;0.0213;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0667_W_61_1993 ;Gaula;0.9055;Lardaiselva;0.0615;Numedalsiagen;0.0330;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0672_W_67_1993 ;Gaula;0.9762;Lardaiselva;0.0237;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0679_W_65_1993 ;Gaula;0.7056;Lardaiselva;0.1777;Numedalsiagen;0.1168;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0678_W_61_1993 ;Gaula;0.9534;Laukhelle_aver;0.0233;Lardaiselva;0.0165;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0676_W_64_1993 ;Lardaiselva;0.6470;Gaula;0.3500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0674_W_74_1993 ;Gaula;0.7893;Lardaiselva;0.2074;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0673_W_65_1993 ;Dionard;0.6110;Gaula;0.3401;Tweed;0.0458;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0668_W_69_1993 ;Lardaiselva;0.7820;Gaula;0.2178;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0658_W_64_1993 ;NorthEsk;0.9658;Dionard;0.0337;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0654_W_62_1993 ;NorthEsk;0.9951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0631_W_66_1993 ;Dionard;0.9963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0642_W_87_1993 ;Gaula;0.9447;Lardaiselva;0.0553;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0637_W_76_1993 ;Dart;0.8197;Gaula;0.1039;NorthEsk;0.0485;Dionard;0.0180;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0636_W_79_1993 ;Lardaiselva;0.9744;Laukhelle_aver;0.0238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0635_W_87_1993 ;Gaula;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0633_W_89_1993 ;UN_aver;0.9963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0632_W_90_1993 ;Ong_aver;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0640_W_87_1993 ;Gaula;0.8482;Dionard;0.0638;Numedalsiagen;0.0458;Moy;0.0405;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0643_W_87_1993 ;Alta;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0644_W_85_1993 ;Gaula;0.9960;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0645_W_74_1993 ;Dionard;0.3959;Dart;0.2590;NorthEsk;0.2352;Blackwater;0.1048;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0646_W_90_1993 ;Teno;0.9782;Alta;0.0174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0647_W_87_1993 ;Gaula;0.9994;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0648_W_85_1993 ;Gaula;0.9595;Numedalsiagen;0.0222;Mal_aver;0.0145;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0649_W_76_1993 ;Lardaiselva;0.7420;Gaula;0.2402;Numedalsiagen;0.0174;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0651_W_81_1993 ;Gaula;0.9963;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0652_W_87_1993 ;Gaula;0.9983;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0655_W_64_1993 ;Gaula;0.6964;Lardaiselva;0.2864;Laukhelle_aver;0.0171;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0653_W_82_1993 ;Gaula;0.9873;Lardaiselva;0.0120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0641_W_91_1993 ;Gaula;0.9875;Numedalsiagen;0.0119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0708_W_68_1993 ;Gaula;0.9977;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0709_W_78_1993 ;NorthEsk;0.5479;Dionard;0.4423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0710_W_104_1993 ;UN_aver;0.9998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0711_W_67_1993 ;Dart;0.8441;Blackwater;0.1269;Tweed;0.0270;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0712_W_70_1993 ;NorthEsk;0.9361;Dionard;0.0619;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0713_W_90_1993 ;Gaula;0.9941;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0714_W_80_1993 ;Numedalsiagen;0.9905;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0717_W_71_1993 ;Gaula;0.9715;Numedalsiagen;0.0236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0718_W_72_1993 ;Lardaiselva;0.8291;Gaula;0.1077;Laukhelle_aver;0.0360;Numedalsiagen;0.0238;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0721_W_67_1993 ;Teno;0.9991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0729_W_73_1993 ;Lardaiselva;0.5550;Gaula;0.2495;Numedalsiagen;0.1660;Dionard;0.0242;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0728_W_73_1993 ;NorthEsk;0.9992;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0727_W_75_1993 ;Chaloupe;0.9693;Matapedia;0.0307;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0726_W_75_1993 ;Numedalsiagen;0.9999;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0725_W_84_1993 ;Teno;0.9940;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0724_W_86_1993 ;Gaula;0.6876;Dionard;0.0993;Titovka_aver;0.0910;Teno;0.0703;VJ_aver;0.0203;Mal_aver;0.0115;Neiden_aver;0.0095;Lardaiselva;0.0054;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0720_W_86_1993 ;Gaula;0.9703;Alta;0.0283;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0723_W_70_1993 ;Gaula;0.9513;Laukhelle_aver;0.0327;Lardaiselva;0.0106;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0691_W_88_1993 ;Alta;0.7097;Teno;0.2902;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0707_W_89_1993 ;Lardaiselva;0.8901;Gaula;0.1029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0706_W_88_1993 ;Gaula;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0681_W_81_1993 ;Dionard;0.9944;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0689_W_87_1993 ;Lardaiselva;0.7939;Gaula;0.2061;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0692_W_72_1993 ;NorthEsk;0.6669;Dionard;0.1800;Dart;0.1489;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0685_W_77_1993 ;Gaula;0.9698;Mal_aver;0.0290;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0684_W_61_1993 ;Lardaiselva;0.9682;Gaula;0.0314;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0683_W_94_1993 ;Numedalsiagen;0.4742;Mal_aver;0.4204;Gaula;0.0514;Lardaiselva;0.0490;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0682_W_78_1993 ;Lardaiselva;0.9998;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0690_W_82_1993 ;Gaula;0.9970;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0693_W_90_1993 ;Numedalsiagen;0.9411;Gaula;0.0587;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0694_W_91_1993 ;Gaula;0.9841;Laukhelle_aver;0.0116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
