IND;Best Estimate;Probability;2nd Best Estimate;Probability;3rd Best Estimate, etc.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0064_W_46_1992 ;Lardaiselva;0.7946;Gaula;0.1099;Numedalsiagen;0.0950;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0061_W_45_1992 ;Dart;1.0000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0062_W_45_1992 ;Numedalsiagen;0.9483;Gaula;0.0504;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0048_W_46_1992 ;Tweed;0.8473;Dionard;0.1225;NorthEsk;0.0246;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0060_W_46_1992 ;Blackwater;0.2682;Dionard;0.2263;Gaula;0.1162;Dart;0.1022;Numedalsiagen;0.0789;Tweed;0.0708;NorthEsk;0.0580;Lardaiselva;0.0526;Moy;0.0210;;;;;;;;;;;;;;;;;;;;;;;;;;
0059_W_45_1992 ;Dionard;0.9523;Tweed;0.0239;Blackwater;0.0211;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0057_W_47_1992 ;Tweed;0.6883;Dionard;0.2980;NorthEsk;0.0053;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0056_W_46_1992 ;Gaula;0.8720;Lardaiselva;0.1113;Numedalsiagen;0.0167;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0055_W_47_1992 ;Tweed;0.9501;NorthEsk;0.0278;Dionard;0.0217;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0054_W_47_1992 ;Dionard;0.9719;Gaula;0.0254;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0053_W_49_1992 ;Dart;0.7840;Blackwater;0.0922;Dionard;0.0918;Moy;0.0312;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0052_W_49_1992 ;Lardaiselva;0.9488;Gaula;0.0499;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0051_W_47_1992 ;Numedalsiagen;0.6890;Gaula;0.1726;Lardaiselva;0.1384;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0164_W_71_1993 ;Matapedia;0.9954;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0165_W_95_1993 ;Gaula;0.9972;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0161_W_93_1993 ;Gaula;0.9868;Lardaiselva;0.0124;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0167_W_74_1993 ;Neiden_aver;0.4016;Titovka_aver;0.3722;Teno;0.2233;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0172_W_72_1993 ;Dart;0.5439;Tweed;0.1666;NorthEsk;0.1270;Blackwater;0.1095;Dionard;0.0525;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
